PR_ALMACEN,PR_CLAVE,PR_DESCRIPCION,PR_COSTO,PR_EXISTENCIA,CLASIFICACION1,PROVEEDOR,PS_NOMBRE
105,DESCUENTO,DESCUENTO,0,-3831,73,1600,PROVEEDORES VARIOS
103,DESCUENTO,DESCUENTO,0,-6475,73,1600,PROVEEDORES VARIOS
103,DEVOLUCIONES,DEVOLUCIONES,0,41,76,1600,PROVEEDORES VARIOS
103,C1035008,COLLAR C ARETES CALABAZATE FRI,6600,0,66,35,LUIS ALONSO ESPEJEL GAMBOA
103,C1035024,JUEGO DE COLLAR CON ARETES FLE,6700,0,66,35,LUIS ALONSO ESPEJEL GAMBOA
103,F4064001,PORTAVASOS RED. Y CUAD.,9,0,73,64,ALTERNATIVA
103,F4064006,FOTOIMAN C/RESINA,8.5,0,73,64,ALTERNATIVA
103,C3067019,TABASCO,31.5,0,72,67,DISTRIBUIDORA DON QUIJOTE
103,C3067025,JALISCO,31.5,0,72,67,DISTRIBUIDORA DON QUIJOTE
103,C3067047,FIESTAS EN MEXICO,31.5,0,72,67,DISTRIBUIDORA DON QUIJOTE
103,C3067053,BARRANCAS DEL COBRE 2,31.5,0,72,67,DISTRIBUIDORA DON QUIJOTE
103,F9080001,VITRINA HOJALATA C BASE MEDIAN,3005.5,0,59,80,ARTESANIAS Y DISENO AZTECA S.A DE C.V.
103,C8091017,AGUILA HUESO DF,400,0,71,91,DAVID GOMES CABRERA
103,C4064013,LLAVERO DOBLE MAP,45,0,73,64,ALTERNATIVA
103,C8128007,CINTURON CHAQUIRA,60,0,71,128,SAMUEL CORREA MUNOZ
103,C1165007,DF BRASALETES,100,0,66,165,ARTESANIA  Y REGALOS
103,C8174013,PLATON GRANDE CON LISTA AZUL,750,0,71,174,KITSIA
103,C2071048,TIBOR  50CM GUANAJUATO,786,0,54,71,ALFARERIA TRADICIONAL S.A. DE C.
103,C9029045,GALLETERO C ASAS ALUMINIO ATT-35,191,0,59,29,APOLONIO ARMANDO GARCIA MORALES
103,C2071368,BARRIL GDE COLOR FLORECITAS B5,4000,0,54,71,ALFARERIA TRADICIONAL S.A. DE C.
103,C2071387,OLLA COSTILLA PINTADA CATRIN CH CO32,1500,0,54,71,ALFARERIA TRADICIONAL S.A. DE C.
103,C2071388,OLLA GTO. GDE AZUL AGUILA,2000,0,54,71,ALFARERIA TRADICIONAL S.A. DE C.
103,C012859003,VOLADORES DE PAPANTLA MED.,450,0,57,859,SIMEON GALLARDO OSORIO
103,C8155039,ESFERA MALACATE V COLORES EDOM,6,0,71,155,JUAN JOSE RODRIGUEZ QUIROZ
103,C8155063,BAUL PINK NINK CHICO,250,0,71,155,JUAN JOSE RODRIGUEZ QUIROZ
103,C6017018,REBOZO FINO PETET LILA,12000,0,53,17,CARMEN VAZQUEZ HERNANDEZ
103,C8305005,GUAJE  PATOS ORILLA CONCURSO,3500,0,71,305,CASA DEL ARTE POPULAR
103,C9209009,PORTA FOLIO PEQUENO DF,60,0,59,209,ELIZABETH SANABRIA RIVERA
103,C6343003,MOVIL 4 HILOS DF,380,0,53,343,ESTRELLA GUTIERREZ MONDRAGON
103,C2174019,JARRON GRANDE MICHOACAN,900,0,54,174,KITSIA
103,C8095080,PERCHERO DE PIE MICH,1100,0,71,95,MARIO LOPEZ TORRES
103,C2054121,TIBOR 55CM  PUEBLA TALAVERA REYNA,5200,0,54,54,TALAVERA LA REYNA
103,C8079010,NICHO CORONA PUEBLA,490,0,71,79,DULCE BERENICE PEREZ ORTEGA
103,C1263028,COLLAR MINGNON PIEL CORNALINA,749,0,66,263,ISHI DESIGNS
103,C6370001,REBOZO ROJO C CAJA DE MARQUETE,1900,0,53,370,FLOR RUIZ DE TERESA
103,C5247004,POSTAL SURTIDA,29,2,74,247,GUSANO DE LUZ
103,C6191034,MORRAL CON BROCADO,220,0,53,191,MICAELA RUIZ RUIZ
103,F3378002,PARA QUE SEPAS,150,0,72,378,MELEL XOJOBAL
103,C6937040,MORRAL LANA TINTES NAT GDE,195,0,53,937,YOLANDA SANCHEZ ROMERO
103,C6937041,MORRAL LANA TINTES NAT MEDIANO,175,0,53,937,YOLANDA SANCHEZ ROMERO
103,C6937042,MORRAL LANA TINTES NAT CHICO,125,0,53,937,YOLANDA SANCHEZ ROMERO
103,C6937043,TLAPIAL,100,0,53,937,YOLANDA SANCHEZ ROMERO
103,F92520012,SERVILLETERO ROSA,150,0,59,252,RUTH CORTES RODRIGUEZ
103,CC914250003,VIRGEN CHICA PLATA,700,0,59,1425,AUGUSTO MORALES
103,FF214260001,ESPEJO MEDIANO OAXACA,2500,0,54,1426,MANUEL DAVID REYES RAMIREZ
103,FF214260003,CUADRO ARBOL DE LA VIDA,10000,0,54,1426,MANUEL DAVID REYES RAMIREZ
103,FF214260004,ANGEL OAXACA,4000,0,54,1426,MANUEL DAVID REYES RAMIREZ
103,FF214260005,PERRO OAXACA,2000,0,54,1426,MANUEL DAVID REYES RAMIREZ
103,FF214260006,GALLINA OAXACA,400,0,54,1426,MANUEL DAVID REYES RAMIREZ
103,FF214260007,CABEZA P VELA OAXACA,200,0,54,1426,MANUEL DAVID REYES RAMIREZ
103,FF214260011,ESCULTURA MUJER S BRAZOS,5000,0,54,1426,MANUEL DAVID REYES RAMIREZ
103,FF214260013,ESCULTURA MUJER C PAJAROS Y CO,6000,0,54,1426,MANUEL DAVID REYES RAMIREZ
103,FF214260014,VASIJA C CARA OAXACA,1000,0,54,1426,MANUEL DAVID REYES RAMIREZ
103,FF214260015,VASIJA C PECES OAXACA,1200,0,54,1426,MANUEL DAVID REYES RAMIREZ
103,FF214260016,MUJER FLORERO  OAXACA,1500,0,54,1426,MANUEL DAVID REYES RAMIREZ
103,F92520001,SERVILLETERO NOCHEBUENA,85,0,59,252,RUTH CORTES RODRIGUEZ
103,F92520003,SERVILLETERO CORAZON,85,0,59,252,RUTH CORTES RODRIGUEZ
103,F92520006,MARCO GDE  RECTANGULAR GTO,400,0,59,252,RUTH CORTES RODRIGUEZ
103,F92520007,VIRGEN C VELADORA,200,0,59,252,RUTH CORTES RODRIGUEZ
103,F92520009,SERVILLETERO CORAZON MINI,85,0,59,252,RUTH CORTES RODRIGUEZ
103,FF214260017,CUADRO ANIMALITOS OAXACA,800,0,54,1426,MANUEL DAVID REYES RAMIREZ
