clasificacion_codigo,clasificacion_nombre,articulo_sk,articulo_clave,descripcion,existencia_total,fecha_corte
1,JOYERIA,14385,CC114580089,ARETES LAJA AMBAR,2,2025-09-03
1,JOYERIA,5154,C120370048,ANILLO ABULON PLATA,1,2025-09-03
1,JOYERIA,5841,C15310038,PULSERA LAGARTIJA HUICHOL,25,2025-09-03
1,JOYERIA,6051,C190077,ARETES CHULETA AMBAR GDE,6,2025-09-03
1,JOYERIA,13236,CC11323009,COLLAR CORAZON MILAGRO,1,2025-09-03
1,JOYERIA,5609,C14300023,COLLAR 4 HILOS CON CORAZONES,1,2025-09-03
1,JOYERIA,4943,C119200035,ARETES REGINA PLATA C/TALAVERA,3,2025-09-03
1,JOYERIA,724,C012033001,PIN ALGODON DE AZUCAR,12,2025-09-03
1,JOYERIA,4512,C115960113,DIJE CRUZ YALALAG C/CRISTAL,1,2025-09-03
1,JOYERIA,4865,C117740078,DIJE AMBAR TRENZA CUERO 49-002,1,2025-09-03
2,CHAQUIRA/HUICHOL,3724,C0185310015,TABLILLA HUICHOL 20 X 20,14,2025-09-03
2,CHAQUIRA/HUICHOL,12413,CC01815110081,PERRO PUG HUICHOL 22X20,2,2025-09-03
2,CHAQUIRA/HUICHOL,3894,C018531034,MONO MISTICO HUICHOL 18X11,1,2025-09-03
2,CHAQUIRA/HUICHOL,3866,C0185310156,PERRO SCHNAUZER HUICHOL 30X23,1,2025-09-03
2,CHAQUIRA/HUICHOL,6046,C18531168,BUHO HUICHOL CH,10,2025-09-03
2,CHAQUIRA/HUICHOL,3920,C018531086,ELEFANTE HUICHOL 21X13 JALISCO,1,2025-09-03
2,CHAQUIRA/HUICHOL,3916,C018531082,PERRO PASTOR ALEMAN HUICHOL 18X24,3,2025-09-03
2,CHAQUIRA/HUICHOL,19749,CC815110012,CUADRO CHICO 15X15 DE ESTAMBRE HUICHOL,1,2025-09-03
2,CHAQUIRA/HUICHOL,3893,C018531033,PERO XOLO CH 24X26,2,2025-09-03
2,CHAQUIRA/HUICHOL,3737,C0185310028,VENADO HUICHOL CH ECHADO,1,2025-09-03
3,PAPEL/CARTON,21592,F1419700006,AVION C/PERSONAJE CARTONERIA,1,2025-09-03
3,PAPEL/CARTON,25472,FF01414190061,AGITADOR FUT CARTONERIA,1,2025-09-03
3,PAPEL/CARTON,5523,C1419240002,LIBRETA IND.  PASTA DURA  CLASICA PAPEL BOND C IMAGENES POPULARES,3,2025-09-03
3,PAPEL/CARTON,1196,C01418040044,PAPEL PICADO MUNECA OTOMI CALAVERA,14,2025-09-03
